college_name,top_score,your_match
TEXAS A&M UNIVERSITY- SAN ANTONIO,89.2,TEXAS A&M UNIVERSITY-SAN ANTONIO
MARIST COLLEGE,88.9,MARIST UNIVERSITY
CALIFORNIA STATE UNIVERSITY - SAN MARCOS,88.9,CALIFORNIA STATE UNIVERSITY-SAN MARCOS
TEXAS A&M UNIVERSITY - COMMERCE,88.9,EAST TEXAS A&M UNIVERSITY
UNIVERSITY OF MASSACHUSETTS AT AMHERST,88.5,UNIVERSITY OF MASSACHUSETTS-AMHERST
OKLAHOMA STATE UNIVERSITY - STILLWATER/TULSA,88.4,OKLAHOMA STATE UNIVERSITY-MAIN CAMPUS
UNIVERSITY OF WISCONSIN - LA CROSSE,88.2,UNIVERSITY OF WISCONSIN-LA CROSSE
CALIFORNIA STATE UNIVERSITY - DOMINGUEZ HILLS,88,CALIFORNIA STATE UNIVERSITY-DOMINGUEZ HILLS
CALIFORNIA STATE UNIVERSITY - SACRAMENTO,87.5,CALIFORNIA STATE UNIVERSITY-SACRAMENTO
CALIFORNIA STATE UNIVERSITY - FULLERTON,87.5,CALIFORNIA STATE UNIVERSITY-FULLERTON
ST JOHN'S COLLEGE  UNDERGRADS,87.5,ST. JOHN'S COLLEGE
CALIFORNIA STATE POLYTECHNIC UNIVERSITY HUMBOLDT,87.5,CALIFORNIA STATE POLYTECHNIC UNIVERSITY-HUMBOLDT
CALIFORNIA STATE POLYTECHNIC UNIVERSITY POMONA,87.5,CALIFORNIA STATE POLYTECHNIC UNIVERSITY-POMONA
CALIFORNIA STATE UNIVERSITY - STANISLAUS,87.5,CALIFORNIA STATE UNIVERSITY-STANISLAUS
CALIFORNIA STATE UNIVERSITY - LONG BEACH,87.5,CALIFORNIA STATE UNIVERSITY-LONG BEACH
CALIFORNIA STATE UNIVERSITY - CHICO,87.5,CALIFORNIA STATE UNIVERSITY-CHICO
CALIFORNIA STATE UNIVERSITY - MONTEREY BAY,87.5,CALIFORNIA STATE UNIVERSITY-MONTEREY BAY
CALIFORNIA STATE UNIVERSITY - FRESNO,87.5,CALIFORNIA STATE UNIVERSITY-FRESNO
UNIVERSITY OF CALIFORNIA - BERKELEY,87.5,UNIVERSITY OF CALIFORNIA-BERKELEY
CALIFORNIA STATE UNIVERSITY - LOS ANGELES,87.5,CALIFORNIA STATE UNIVERSITY-LOS ANGELES
GRACELAND UNIVERSITY,87.2,GRACELAND UNIVERSITY-LAMONI
CONCORDIA UNIVERSITY - IRVINE,87,CONCORDIA UNIVERSITY-IRVINE
FAIRLEIGH DICKINSON UNIVERSITY - MADISON,87,FAIRLEIGH DICKINSON UNIVERSITY-FLORHAM CAMPUS
UNIVERSITY OF TENNESSEE CHATTANOOGA,87,THE UNIVERSITY OF TENNESSEE-CHATTANOOGA
UNIVERSITY OF NEVADA LAS VEGAS,86.7,UNIVERSITY OF NEVADA-LAS VEGAS
RUTGERS -THE STATE UNIVERSITY OF NJ -NEW BRUNSWICK,86.5,RUTGERS UNIVERSITY-NEW BRUNSWICK
MINNESOTA STATE UNIVERSITY -  MANKATO,86.5,MINNESOTA STATE UNIVERSITY-MANKATO
UNIVERSITY OF WISCONSIN - RIVER FALLS,86.4,UNIVERSITY OF WISCONSIN-RIVER FALLS
WASHINGTON STATE UNIVERSITY- PULLMAN,85.7,WASHINGTON STATE UNIVERSITY
UNIVERSITY OF WISCONSIN - MADISON,85.7,UNIVERSITY OF WISCONSIN-MADISON
PRATT INSTITUTE,85.7,PRATT INSTITUTE-MAIN
INDIANA UNIVERSITY BLOOMINGTON,85.7,INDIANA UNIVERSITY-BLOOMINGTON
UNIVERSITY OF NEW HAVEN-SEMESTERS,85,UNIVERSITY OF NEW HAVEN
UNIVERSITY OF NEW HAMPSHIRE- DURHAM,85,UNIVERSITY OF NEW HAMPSHIRE-MAIN CAMPUS
UNIVERSITY OF PITTSBURGH,84.2,UNIVERSITY OF PITTSBURGH-PITTSBURGH CAMPUS
MONTANA STATE UNIVERSITY-BILLINGS,84.2,MONTANA STATE UNIVERSITY BILLINGS
UNIVERSITY OF WISCONSIN - MILWAUKEE,83.9,UNIVERSITY OF WISCONSIN-MILWAUKEE
UNIVERSITY OF CINCINNATI,83.9,UNIVERSITY OF CINCINNATI-MAIN CAMPUS
CHAPMAN UNIVERSITY-ORANGE,83.7,CHAPMAN UNIVERSITY
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY - DAYTONA,83.3,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-DAYTONA BEACH
PURDUE UNIVERSITY - WEST LAFAYETTE,83.3,PURDUE UNIVERSITY-MAIN CAMPUS
CALIFORNIA STATE UNIV CHANNEL ISLANDS,80,CALIFORNIA STATE UNIVERSITY-CHANNEL ISLANDS
GRAND CANYON UNIVERSITY-TRADITIONAL,79.3,GRAND CANYON UNIVERSITY
SACRAMENTO CITY COLLEGE-LOS RIOS CC DISTRICT,78.9,SACRAMENTO CITY COLLEGE
COSUMNES RIVER COLLEGE-LOS RIOS CC DISTRICT,77.8,COSUMNES RIVER COLLEGE
REGIS UNIVERSITY-SEMESTERS,76.2,REGIS UNIVERSITY
AZUSA PACIFIC UNIVERSITY- UNDERGRADUATE,76.2,AZUSA PACIFIC UNIVERSITY
VIRGINIA POLYTECH & STATE UNIV,71.8,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
SALEM COLLEGE-UNDERGRADS,70.3,SALEM COLLEGE
SOUTHERN NEW HAMPSHIRE- 15WEEK,69.8,SOUTHERN NEW HAMPSHIRE UNIVERSITY
